Note Names from C	Number Of Notes In Scale	Ascending Note Positions in Scale	Binary 12notes 1&0	Pitch Set binary	Name Of Scale	Alternative Scale Names	Flatmost Note	PitchSet Notation 12 edo	PositionOfTonic	Sharpmost Note	Composer	Reference Url	WorkExample
 .		 .			Template for any scale	template any							
C  .	1	1 .	100000000000	2048	Unison		C	0	1	C			
C G .	2	1 5 .	100000010000	2064	Fifth Interval		C	0 7	1	G			
C F .	2	1 4 .	100001000000	2112	Fourth		F	0 5	2	C			
C D G .	3	1 2 5 .	101000010000	2576	Theoretical - No Known Name	DADGAD	C	0 2 7	1	D			
C F G .	3	1 4 5 .	100001010000	2128	Raga Sarvarsi (India)		F	0 5 7	2	G			
C F Bb .	3	1 4 7b .	100001000010	2114	Sanagari (Japan)		Bb	0 5 10	3	C			
C D .	2	1 2 .	101000000000	2560	Do Re Wholetone or Large Interval		C	0 2	1	D			
C Bb .	2	1 7b .	100000000010	2050	Flat Seventh Interval		Bb	0 10	3	C			
C D G A .	4	1 2 5 6 .	101000010100	2580	Theoretical - No Known Name		C	0 2 7 9	1	A			
C D F G .	4	1 2 4 5 .	101001010000	2640	Major Suspended 4th Chord	Genus Primum	F	0 2 5 7	2	D			
C F G Bb .	4	1 4 5 7b .	100001010010	2130	Major b7 Suspend 4th Chord		Bb	0 5 7 10	3	G			
C Eb F Bb .	4	1 3b 4 7b .	100101000010	2370	Theoretical - No Known Name		Eb	0 3 5 10	4	C			
C D A .	3	1 2 6 .	101000000100	2564	Theoretical - No Known Name		C	0 2 9	1	A			
C G Bb .	3	1 5 7b .	100000010010	2066	Theoretical - No Known Name		Bb	0 7 10	3	G			
C Eb F .	3	1 3b 4 .	100101000000	2368	Theoretical - No Known Name		Eb	0 3 5	4	C			
C A .	2	1 6 .	100000000100	2052	Major Sixth Interval		C	0 9	1	A			
C Eb .	2	1 3b .	100100000000	2304	Flattened Third interval		Eb	0 3	4	C			
C G A .	3	1 5 6 .	100000010100	2068	Theoretical - No Known Name		C	0 7 9	1	A			
C D F .	3	1 2 4 .	101001000000	2624	Theoretical - No Known Name		F	0 2 5	2	D			
C Eb Bb .	3	1 3b 7b .	100100000010	2306	Ute Tritone (North America)		Eb	0 3 10	4	C			
C D E G A .	5	1 2 3 5 6 .	101010010100	2708	Major Pentatonic	Chord C69 - Gong (China) Raga Bhopali, Mohanam, Deskar, Bilahari (India)	C	0 2 4 7 9	1	E			
C D F G A .	5	1 2 4 5 6 .	101001010100	2644	Ritusen Japan, Scottish Pentatonic (as Slendro example)	Zhi (China) Raga Devakriya (India) Ujo (Korea)	F	0 2 5 7 9	2	A			
C D F G Bb .	5	1 2 4 5 7b .	101001010010	2642	Egyptian , Suspended Pentatonic		Bb	0 2 5 7 10	3	D			
C Eb F G Bb .	5	1 3b 4 5 7b .	100101010010	2386	Blues Pentatonic Minor, Hard Japan descending	Chord Cm11 - Pyongjo Kyemyonjo (Korea) Minyo (Japan)	Eb	0 3 5 7 10	4	G			
C Eb F Ab Bb .	5	1 3b 4 6b 7b .	100101001010	2378	Blues Pentatonic Minor, Hard Japan descending 	"3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)"	Ab	0 3 5 8 10	5	C			
C D E A .	4	1 2 3 6 .	101010000100	2692	Theoretical - No Known Name		C	0 2 4 9	1	E			
C D G Bb .	4	1 2 5 7b .	101000010010	2578	Theoretical - No Known Name		Bb	0 2 7 10	3	D			
C Eb F G .	4	1 3b 4 5 .	100101010000	2384	Theoretical - No Known Name	Chord Cminor sus4	Eb	0 3 5 7	4	G			
C F Ab Bb .	4	1 4 6b 7b .	100001001010	2122	Theoretical - No Known Name		Ab	0 5 8 10	5	C			
C E A .	3	1 3 6 .	100010000100	2180	Minor Triad e.g. Am Raga Bilwadala (India)		C	0 4 9	1	E			
C Eb G .	3	1 3b 5 .	100100010000	2320	Minor Triad e.g. Cm	Chord C minor	Eb	0 3 7	4	G			
C F Ab .	3	1 4 6b  .	100001001000	2120	Minor Triad e.g. Fm		Ab	0 5 8	5	C			
C E .	2	1 3 .	100010000000	2176	Major Third Interval		C	0 4	1	E			
C Ab .	2	1 6b .	100000001000	2056	Flat Sixth Interval		Ab	0 8	5	C			
C D E .	3	1 2 3 .	101010000000	2688	Do Re Mi 		C	0 2 4	1	E			
C D Bb .	3	1 2 7b .	101000000010	2562	Theoretical - No Known Name		Bb	0 2 10	3	D			
C Ab Bb .	3	1 6b 7b .	100000001010	2058	Theoretical - No Known Name		Ab	0 8 10	5	C			
C E G A .	4	1 3 5 6 .	100010010100	2196	Minor 7th e.g. Am7 = C6	Chord C6	C	0 4 7 9	1	E			
C D F A .	4	1 2 4 6 .	101001000100	2628	Minor 7th e.g. Dm7 = F6 Raga Bhavani (India)		F	0 2 5 9	2	A			
C Eb G Bb .	4	1 3b 5 7b .	100100010010	2322	Minor Seventh Chord e.g. Cm7 = Eb6	Bi Yu (China)	Eb	0 3 7 10	4	G			
C Eb F Ab .	4	1 3b 4 6b .	100101001000	2376	Theoretical - No Known Name		Ab	0 3 5 8	4	C			
C E G .	3	1 3 5 .	100010010000	2192	Major Triad e.g. C	Chord C Major	C	0 4 7	1	E			
C F A .	3	1 4 6 .	100001000100	2116	Major Triad e.g. F	Chord F Major	F	0 5 9	2	A			
C Eb Ab .	3	1 3b 6b .	100100001000	2312	Major Triad e.g. Ab		Ab	0 3 8	5	C			
C D E G .	4	1 2 3 5 .	101010010000	2704	Eskimo Tetratonic		C	0 2 4 7	1	E			
C F G A  .	4	1 4 5 6 .	100001010100	2132	Major add 9 e.g. F add9		F	0 5 7 9	2	A			
C D F Bb .	4	1 2 4 7b .	101001000010	2626	Major add 9 e.g. Bb add9		Bb	0 2 5 10	3	D			
C Eb Ab Bb .	4	1 3b 6b 7b .	100100001010	2314	Major add 9 e.g. Ab add9		Ab	0 3 8 10	5	C			
C D E G A B .	6	1 2 3 5 6 7 .	101010010101	2709	Lydian Hexatonic	Chord CMaj769	C	0 2 4 7 9 11	1	B			
C D E F G A .	6	1 2 3 4 5 6 .	101011010100	2772	Scottish Hexatonic Arezzo Major Diatonic Hexachord		F	0 2 4 5 7 9	2	E			
C D F G A Bb .	6	1 2 4 5 6 7b .	101001010110	2646	Mixolydian Hexatonic	Yosen (Japan). Raga Darbar, Narayani, Suposhini (India)	Bb	0 2 5 7 9 10	3	A			
C D Eb F G Bb .	6	1 2 3b 4 5 7b .	101101010010	2898	Minor Hexatonic	Chord Cm9sus4 - Nayaki, Yo (Japan), Eskimo Hexatonic 1 (North America)	Eb	0 2 3 5 7 10	4	D			
C Eb F G Ab Bb .	6	1 3b 4 5 6b 7b .	100101011010	2394	Phrygian Hexatonic	Chord Cm7b6b9sus4	Ab	0 3 5 7 8 10	5	G			
C Db Eb F Ab Bb .	6	1 2b 3b 4 6b 7b .	110101001010	3402	Ritsu		Db	0 1 3 5 8 10	6	C			
C D E A B .	5	1 2 3 6 7 .	101010000101	2693	Theoretical - No Known Name		C	0 2 4 8 9 11	1	B			
C D G A Bb .	5	1 2 5 6 7b .	101000010110	2582	Raga Matha Kokila (India)		Bb	0 2 7 9 10	3	A			
C D Eb F G .	5	1 2 3b 4 5 .	101101010000	2896	Minor Pentachord Chad Gadyo (Israel)		Eb	0 2 3 5 7	4	D			
C F G Ab Bb .	5	1 4 5 6b 7b .	100001011010	2138	Theoretical - No Known Name		Ab	0 5 7 8 10	5	G			
C Db Eb F Bb .	5	1 2b 3b 4 7b .	110101000010	3394	Theoretical - No Known Name		Db	0 1 3 5 10	6	C			
C E A B .	4	1 3 6 7 .	100010000101	2181	Theoretical - No Known Name		C	0 4 9 11	1	B			
C D Eb G .	4	1 2 3b 5 .	101100010000	2832	Theoretical - No Known Name		Eb	0 2 3 7	4	D			
C F G Ab .	4	1 4 5 6b .	100001011000	2136	Theoretical - No Known Name		Ab	0 5 7 8	5	G			
C Db F Bb .	4	1 2b 4 7b .	110001000010	3138	Theoretical - No Known Name		Db	0 1 5 10	6	C			
C E B .	3	1 3 7 .	100010000001	2177	Theoretical - No Known Name		C	0 4 11	1	B			
C G Ab .	3	1 5 6b .	100000011000	2072	Theoretical - No Known Name		Ab	0 7 8	5	G			
C Db F .	3	1 2b 4 .	110001000000	3136	Theoretical - No Known Name		Db	0 1 5	6	C			
C B .	2	1 7 .	100000000001	2049	Major Seventh Interval		C	0 11	1	B			
C A B .	3	1 6 7 .	100000000101	2053	Theoretical - No Known Name		C	0 9 11	1	B			
C D Eb .	3	1 2 3b .	101100000000	2816	Minor Trichord		Eb	0 2 3	4	D			
C Db Bb .	3	1 2b 7b .	110000000010	3074	Theoretical - No Known Name		Db	0 1 10	6	C			
C D E B .	4	1 2 3 7 .	101010000001	2689	Theoretical - No Known Name		C	0 2 4 11	1	B			
C D A Bb .	4	1 2 6 7b .	101000000110	2566	Theoretical - No Known Name		Bb	0 2 9 10	3	A			
C G Ab Bb .	4	1 5 6b 7b .	100000011010	2074	Theoretical - No Known Name		Ab	0 7 8 10	5	G			
C Db Eb F .	4	1 2b 3b 4 .	110101000000	3392	Phrygian Tetrachord		Db	0 1 3 5	6	C			
C D B .	3	1 2 7 .	101000000001	2561	Theoretical - No Known Name		C	0 2 11	1	B			
C A Bb .	3	1 6 7b .	100000000110	2054	Theoretical - No Known Name		Bb	0 9 10	3	A			
C Db Eb .	3	1 2b 3b .	110100000000	3328	Phrygian Trichord		Db	0 1 3	6	C			
C D A B .	4	1 2 6 7 .	101000000101	2565	Theoretical - No Known Name		C	0 2 9 11	1	B			
C G A Bb .	4	1 5 6 7b .	100000010110	2070	Theoretical - No Known Name		Bb	0 7 9 10	3	A			
C D Eb F .	4	1 2 3b 4 .	101101000000	2880	Dorian Tetrachord		Eb	0 2 3 5	4	D			
C Db Eb Bb .	4	1 2b 3b 7b .	110100000010	3330	Theoretical - No Known Name		Db	0 1 3 10	6	C			
C E G A B .	5	1 3 5 6 7 .	100010010101	2197	Raga Mamata (India) Major 6th		C	0 4 7 9 11	1	B			
C D E F A .	5	1 2 3 4 6 .	101011000100	2756	Theoretical - No Known Name		F	0 2 4 5 9	2	E			
C D Eb G Bb .	5	1 2 3b 5 7b .	101100010010	2834	Theoretical - No Known Name	Chord C minor 9	Eb	0 2 3 7 10	4	D			
C Eb F G Ab .	5	1 3b 4 5 6b .	100101011000	2392	Raga Kokil Pancham (India)	Chord C minor 6 sus4	Ab	0 3 5 7 8	5	G			
C Db F Ab Bb .	5	1 2b 4 6b 7b .	110001001010	3146	Theoretical - No Known Name		Db	0 1 5 8 10	6	C			
C E G B .	4	1 3 5 7 .	100010010001	2193	Major 7 Chord 	Chord CMajor7	C	0 4 7 11	1	B			
C E F A .	4	1 3 4 6 .	100011000100	2244	Theoretical - No Known Name		F	0 4 5 9	2	E			
C Eb G Ab .	4	1 3b 5 6b .	100100011000	2328	Theoretical - No Known Name	Chord Cminorb6	Ab	0 3 7 8	5	G			
C Db F Ab .	4	1 2b 4 6b .	110001001000	3144	Raga Lavangi(India)		Db	0 1 5 8	6	C			
C G B .	3	1 5 7 .	100000010001	2065	Theoretical - No Known Name		C	0 7 11	1	B			
C E F .	3	1 3 4 .	100011000000	2240	Theoretical - No Known Name		F	0 4 5	2	E			
C Db Ab .	3	1 2b 6b .	110000001000	3080	Theoretical - No Known Name		Db	0 1 8	6	C			
C G A B .	4	1 5 6 7 .	100000010101	2069	Theoretical - No Known Name		C	0 7 9 11	1	B			
C D E F .	4	1 2 3 4 .	101011000000	2752	Major Tetrachord		F	0 2 4 5	2	E			
C D Eb Bb .	4	1 2 3b 7b .	101100000010	2818	Warao Minor Trichord		Eb	0 2 3 10	4	D			
C Db Ab Bb .	4	1 2b 6b 7b .	110000001010	3082	Theoretical - No Known Name		Db	0 1 8 10	6	C			
C D E G B .	5	1 2 3 5 7 .	101010010001	2705	Raga Hamsadhvani (India)	Chord C Major9	C	0 2 4 7 11	1	B			
C E F G A .	5	1 3 4 5 6 .	100011010100	2260	Raga Mand (India)	Chord C6sus4	F	0 4 5 7 9	2	E			
C D F A Bb .	5	1 2 4 6 7b .	101001000110	2630	Oriental Raga Guhamanohari (India)		Bb	0 2 5 9 10	3	A			
C Eb G Ab Bb .	5	1 3b 5 6b 7b .	100100011010	2330	Raga Shailaja (India)	Chord C minor7b9	Ab	0 3 7 8 10	5	G			
C Db Eb F Ab .	5	1 2b 3b 4 6b .	110101001000	3400	Raga Chitthakarshini (India)		Db	0 1 3 5 8	6	C			
C D G B .	5	1 2 5 7 .	101000010001	2577	Theoretical - No Known Name		C	0 2 7 11	1	B			
C E F G .	5	1 3 4 5  .	100011010000	2256	Theoretical - No Known Name	Chord Csus4	F	0 4 5 7	2	E			
C F A Bb .	5	1 4 6 7b .	100001000110	2118	Theoretical - No Known Name		Bb	0 5 9 10	3	A			
C Db Eb Ab .	5	1 2b 3b 6b .	110100001000	3336	Theoretical - No Known Name		Db	0 1 3 8	6	C			
C D G A B .	5	1 2 5 6 7 .	101000010101	2581	Theoretical - No Known Name		C	0 2 7 9 11	1	B			
C D E F G .	5	1 2 3 4 5 .	101011010000	2768	Major Pentachord		F	0 2 4 5 7	2	E			
C F G A Bb .	5	1 4 5 6 7b .	100001010110	2134	Theoretical - No Known Name		Bb	0 5 7 9 10	3	A			
C D Eb F Bb .	5	1 2 3b 4 7b .	101101000010	2882	Theoretical - No Known Name		Eb	0 2 3 5 10	4	D			
C Db Eb Ab Bb .	5	1 2b 3b 6b 7b .	110100001010	3338	Theoretical - No Known Name		Db	0 1 3 8 10	6	C			
C D E F# G A B .	7	1 2 3 4# 5 6 7 .	101010110101	2741	Lydian, Kalyan F to E ascending naturals	Ping (China)  Nis Garb.ri (Mesopotamian)	C	0 2 4 6 7 9 11	1	F#		http://www.lucytune.com/new_to_lt/pitch_03.html	
C D E F G A B .	7	1 2 3 4 5 6 7 .	101011010101	2773	Ionian, Major, Bilaval  C to B asc.  nats.	Chord CMaj69sus4 - Thaat,  Nid Murub (Sumerian) - white notes from C - Abheri Desc Raga 	F	0 2 4 5 7 9 11	2	B		http://www.lucytune.com/new_to_lt/pitch_03.html	
C D E F G A Bb .	7	1 2 3 4 5 6 7b .	101011010110	2774	Mixolydian, Khamaj G to F ascend. nats	 Chord C69sus4 - Ching (China). Mitum (Sumerian) Gregorian Scale 7	Bb	0 2 4 5 7 9 10	3	E		http://www.lucytune.com/new_to_lt/pitch_03.html	
C D Eb F G A Bb .	7	1 2 3b 4 5 6 7b .	101101010110	2902	Dorian, Kafi  D to C asc. naturals	Chord Cm69sus4 - Eskimo Heptatonic (N. America) Kafi Thaat (India), Embulum (Sumerian)	Eb	0 2 3 5 7 9 10	4	A		http://www.lucytune.com/new_to_lt/pitch_03.html	
C D Eb F G Ab Bb .	7	1 2 3b 4 5 6b 7b    .	101101011010	2906	Aeolian Natural Minor, Asavari Asc Nats. A to G	Chord Cm9b6sus4 - Gregorian Scale 2, Assari Thaat (India), Se (China) Kitmun (Sumarian)	Ab	0 2 3 5 7 8 10	5	D		http://www.lucytune.com/new_to_lt/pitch_03.html	
C Db Eb F G Ab Bb .	7	1 2b 3b 4 5 6b 7b .	110101011010	3418	Phrygian, Bhairavi  E to D asc. nats.(as 11/678910/4 in 12edo)	Ishartum (Sumerian), Ousak (Greece), Zokuso (Japan) Gregorian Scale 3	Db	0 1 3 5 7 8 10	6	G		http://www.lucytune.com/new_to_lt/pitch_03.html	
C Db Eb F Gb Ab Bb .	7	1 2b 3b 4 5b 6b 7b .	110101101010	3434	Locrian  - B to A Ascending naturals	Qablitum (Sumerian)	Gb	0 1 3 5 6 8 10	7	C		http://www.lucytune.com/new_to_lt/pitch_03.html	
C D E F# A B .	6	1 2 3 4# 6 7 .	101010100101	2725	Raga Mrunganandana (India)		C	0 2 4 6 9 11	1	F#			
C D E G A Bb .	6	1 2 3 5 6 7b .	101010010110	2710	Theoretical - No Known Name	Chord C13add9	Bb	0 2 4 7 9 10	3	E			
C D Eb F G A  .	6	1 2 3b 4 5 6 .	101101010100	2900	Raga Suddha Bangala (India)		Eb	0 2 3 5 7 9	4	A			
C D F G Ab Bb .	6	1 2 4 5 6b 7b .	101001011010	2650	Raga Navamanohari (India)		Ab	0 2 5 7 8 10	5	D			
C Db Eb F G Bb .	6	1 2b 3b 4 5 7b .	110101010010	3410	Raga Gandharavam	Chord Cm7b6sus4	Db	0 1 3 5 7 10	6	G			
C Eb F Gb Ab Bb .	6	1 3b 4 5b 6b 7b .	100101101010	2410	Theoretical - No Known Name	Chord Cm7addb6b5sus4	Gb	0 3 5 6 8 10	7	C			
C E F# A B .	5	1 3 4# 6 7 .	100010100101	2213	Raga Hindol (India)		C	0 4 6 9 11	1	F#			
C D Eb G A .	5	1 2 3b 5 6 .	101100010100	2836	Dorian Pentatonic, Kumoi Japan	Akebono I (Japan)	Eb	0 2 3 7 9	4	A			
C D F G Ab .	5	1 2 4 5 6b .	101001011000	2648	Han - kumoi (Japan)		Ab	0 2 5 7 8	5	D			
C Db F G Bb .	5	1 2b 4 5 7b .	110001010010	3154	Kokin-Joshi, Soft Ascend Japan	Miyakobushi (Japan)	Db	0 1 5 7 10	6	G		http://www.lucytune.com/new_to_lt/pitch_03.html	
C Eb F Gb Bb .	5	1 3b 4 5b 7b .	100101100010	2402	Raga Jayakauns (india)		Gb	0 3 5 6 10	7	C			
C E F# B .	4	1 3 4# 7 .	100010100001	2209	Raga Nigamagamini (India)		C	0 4 6 11	1	F#			
C D G Ab .	4	1 2 5 6b .	101000011000	2584	Theoretical - No Known Name		Ab	0 2 7 8	5	D			
C Db F G .	4	1 2b 4 5 .	110001010000	3152	Theoretical - No Known Name		Db	0 1 5 7	6	G			
C F Gb Bb .	4	1 4 5b 7b .	100001100010	2146	Theoretical - No Known Name		Gb	0 5 6 10	7	C			
C F# B .	3	1 4# 7 .	100000100001	2081	Theoretical - No Known Name		C	0 6 11	1	F#			
C F# .	2	1 4# .	100000100000	2080	Sharp Fourth		C	0 6	1	F#			
C Gb .	2	1 5b .	100000100000	2080	Flat Fifth Interval		Gb	0 6	7	C			
C E F# .	3	1 3 4# .	100010100000	2208	Theoretical - No Known Name		C	0 4 6	1	F#			
C D Ab .	3	1 2 6b .	101000001000	2568	Theoretical - No Known Name		Ab	0 2 8	5	D			
C F# A B .	4	1 4# 6 7 .	100000100101	2085	Theoretical - No Known Name		C	0 6 9 11	1	F#			
C D Eb A .	4	1 2 3b 6 .	101100000100	2820	Theoretical - No Known Name		Eb	0 2 3 9	4	A			
C Db G Bb .	4	1 2b 5 7b .	110000010010	3090	Theoretical - No Known Name		Db	0 1 7 10	6	G			
C Eb F Gb .	4	1 3b 4 5b .	100101100000	2400	Theoretical - No Known Name		Gb	0 3 5 6	7	C			
C F# A .	3	1 4# 6 .	100000100100	2084	Theoretical - No Known Name		C	0 6 9	1	F#			
C Eb A .	3	1 3b 6 .	100100000100	2308	Theoretical - No Known Name		Eb	0 3 9	4	A			
C Eb Gb .	3	1 3b 5b .	100100100000	2336	Diminished Chord		Gb	0 3 6	7	C			
C E F# A .	4	1 3 4# 6 .	100010100100	2212	Theoretical - No Known Name		C	0 4 6 9	1	F#			
C Eb G A .	4	1 3b 5 6 .	100100010100	2324	Theoretical - No Known Name	Chord Cm6	Eb	0 3 7 9	4	A			
C Eb Gb Bb .	4	1 3b 5b 7b .	100100100010	2338	Messiaen Truncated Gb Bb Eb Half Diminished	Half Diminished Chord	Gb	0 3 6 10	7	C		http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	
C D E F# B .	5	1 2 3 4# 7 .	101010100001	2721	Raga Kumurdaki (India)		C	0 2 4 6 11	1	F#			
C D E A Bb .	5	1 2 3 6 7b .	101010000110	2694	Theoretical - No Known Name		Bb	0 2 4 9 10	3	E			
C D G Ab Bb .	5	1 2 5 6b 7b .	101000011010	2586	Theoretical - No Known Name		Ab	0 2 7 8 10	5	D			
C Db Eb F G .	5	1 2b 3b 4 5 .	110101010000	3408	Theoretical - No Known Name		Db	0 1 3 5 7	6	G			
C F Gb Ab Bb .	5	1 4 5b 6b 7b .	100001101010	2154	Theoretical - No Known Name		Gb	0 5 6 8 10	7	C			
C D F# B .	4	1 2 4# 7 .	101000100001	2593	Raga Sumukam (India)		C	0 2 6 11	1	F#			
C E A Bb .	4	1 3 6 7b .	100010000110	2182	Theoretical - No Known Name		Bb	0 4 9 10	3	E			
C Db Eb G .	4	1 2b 3b 5 .	110100010000	3344	Theoretical - No Known Name		Db	0 1 3 7	6	G			
C F Gb Ab .	4	1 4 5b 6b .	100001101000	2152	Theoretical - No Known Name		Gb	0 5 6 8	7	C			
C D F# .	3	1 2 4# .	101000100000	2592	Theoretical - No Known Name		C	0 2 6	1	F#			
C E Bb .	3	1 3 7b .	100010000010	2178	Theoretical - No Known Name		Bb	0 4 10	3	E			
C Gb Ab .	3	1 5b 6b .	100000101000	2088	Theoretical - No Known Name		Gb	0 6 8	7	C			
C D E F# .	4	1 2 3 4# .	101010100000	2720	Whole-Tone Tetramirror		C	0 2 4 6	1	F#			
C D E Bb .	4	1 2 3 7b .	101010000010	2690	Theoretical - No Known Name		Bb	0 2 4 10	3	E			
C D Ab Bb .	4	1 2 6b 7b .	101000001010	2570	Theoretical - No Known Name		Ab	0 2 8 10	5	D			
C Gb Ab Bb .	4	1 5b 6b 7b .	100000101010	2090	Theoretical - No Known Name		Gb	0 6 8 10	7	C			
C D F# A B .	5	1 2 4# 6 7 .	101000100101	2597	Raga Shubravarni (India)		C	0 2 6 9 11	1	F#			
C E G A Bb .	5	1 3 5 6 7b .	100010010110	2198	Raga Valaji (India) - Thriteenth e.g.C13	Chord C13	Bb	0 4 7 9 10	3	E			
C D Eb F A .	5	1 2 3b 4 6 .	101101000100	2884	Raga Abhogi		Eb	0 2 3 5 9	4	A			
C Db Eb G Bb .	5	1 2b 3b 5 7b .	110100010010	3346	Raga Rukmangi, Pelog 2	Chord Cm7b9	Db	0 1 3 7 10	6	G			
C Eb F Gb Ab .	5	1 3b 4 5b 6b .	100101101000	2408	Theoretical - No Known Name		Gb	0 3 5 6 8	7	C			
C D F# A .	4	1 2 4# 6 .	101000100100	2596	Major b7 Chord e.g. D7		C	0 2 6 9	1	F#			
C E G Bb .	4	1 3 5 7b .	100010010010	2194	Major b7 Chord e.g. C7 Raga Mahathi (India)	Chord C7	Bb	0 4 7 10	3	E			
C Eb F A .	4	1 3b 4 6 .	100101000100	2372	Major b7 Chord e.g. F7		Eb	0 3 5 9	4	A			
C Eb Gb Ab .	4	1 3b 5b 6b .	100100101000	2344	Major Dominant b7 Chord e.g. Ab7		Gb	0 3 6 8	7	C			
C D E F# A .	5	1 2 3 4# 6 .	101010100100	2724	Kung		C	0 2 4 6 9	1	F#			
C D E G Bb .	5	1 2 3 5 7b .	101010010010	2706	Dominant Pentatonic	C9 chord	Bb	0 2 4 7 10	3	E			
C Eb F G A .	5	1 3b 4 5 6 .	100101010100	2388	Minor 6th Added	Minor Added Sixth Pentatonic	Eb	0 3 5 7 9	4	A			
C D F Ab Bb .	5	1 2 4 6b 7b .	101001001010	2634	Chaio (all b¢s) 10/4678910/3 in 12 edo)		Ab	0 2 5 8 10	5	D			
C Eb Gb Ab Bb .	5	1 3b 5b 6b 7b .	100100101010	2346	Raga Harikauns (India) (Flats)		Gb	0 3 6 8 10	7	C			
C E F# G A B .	6	1 3 4# 5 6 7 .	100010110101	2229	Theoretical - No Known Name	Chord CMaj6sus#4	C	0 4 6 7 9 11	1	F#			
C D E F A B .	6	1 2 3 4 6 7 .	101011000101	2757	Raga Hamsa Vinodini (India)		F	0 2 4 5 9 11	2	B			
C D Eb G A Bb .	6	1 2 3b 5 6 7b .	101100010110	2838	Raga Manavi (India)	Chord Cm96	Eb	0 2 3 7 9 10	4	A			
C D Eb F G Ab .	6	1 2 3b 4 5 6b .	101101011000	2904	Theoretical - No Known Name		Ab	0 2 3 5 7 8	5	D			
C Db F G Ab Bb .	6	1 2b 4 5 6b 7b .	110001011010	3162	Raga Phenadyuti (India)		Db	0 1 5 7 8 10	6	G			
C Db Eb F Gb Bb .	6	1 2b 3b 4 5b 7b .	110101100010	3426	Honchoshi Plagal Form		Gb	0 1 3 5 6 10	7	C			
C E F# G B .	5	1 3 4# 5 7 .	100010110001	2225	Raga Malashri (India) & Chinese		C	0 4 6 7 11	1	F#			
C E F A B .	5	1 3 4 6 7 .	100011000101	2245	Raga Bhinna Shadja, Hindolita (India)		F	0 4 5 9 11	2	B			
C D Eb G Ab .	5	1 2 3b 5 6b .	101100011000	2840	Hirajoshi Japan		Ab	0 2 3 7 8	5	D			
C Db F G Ab .	5	1 2b 4 5 6b .	110001011000	3160	Japanese, Sakura Pentatonic Soft Descend		Db	0 1 5 7 8	6	G			
C Db F Gb Bb .	5	1 2b 4 5b 7b .	110001100010	3170	Iwato Japan		Gb	0 1 5 6 10	7	C			
C F# G B .	4	1 4# 5 7 .	100000110001	2097	Theoretical - No Known Name		C	0 6 7 11	1	F#			
C E F B .	4	1 3 4 7 .	100011000001	2241	Theoretical - No Known Name		F	0 4 5 11	2	B			
C Db G Ab .	4	1 2b 5 6b .	110000011000	3096	Theoretical - No Known Name		Db	0 1 7 8	6	G			
C Db F Gb .	4	1 2b 4 5b .	110001100000	3168	Theoretical - No Known Name		Gb	0 1 5 6	7	C			
C F# G .	3	1 4# 5 .	100000110000	2096	Raga Ongkari? (India) (as 7/23456/7 in 12edo)		C	0 6 7	1	F#			
C F B .	3	1 4 7 .	100001000001	2113	Theoretical - No Known Name (as 7/23456/8 in 12edo)		F	0 5 11	2	B			
C Db Gb .	3	1 2b 5b .	110000100000	3104	Theoretical - No Known Name (as 7/23456/1 in 12edo)		Gb	0 1 6	7	C			
 C E F# G .	4	1 3 4# 5 .	100010110000	2224	Theoretical - No Known Name	Chord Csus#4	C	0 4 6 7	1	F#			
C F A B .	4	1 4 6 7  .	100001000101	2117	Theoretical - No Known Name		F	0 5 9 11	2	B			
C D Eb Ab .	4	1 2 3b 6b .	101100001000	2824	Theoretical - No Known Name		Ab	0 2 3 8	5	D			
C Db Gb Bb .	4	1 2b 5b 7b .	110000100010	3106	Theoretical - No Known Name		Gb	0 1 6 10	7	C			
C F# G A B .	5	1 4# 5 6 7 .	100000110101	2101	Theoretical - No Known Name		C	0 6 7 9 11	1	F#			
C D E F B .	5	1 2 3 4 7 .	101011000001	2753	Theoretical - No Known Name		F	0 2 4 5 11	2	B			
C D Eb A Bb .	5	1 2 3b 6 7b .	101100000110	2822	Theoretical - No Known Name		Eb	0 2 3 9 10	4	A			
C Db G Ab Bb .	5	1 2b 5 6b 7b .	110000011010	3098	Theoretical - No Known Name		Db	0 1 7 8 10	6	G			
C Db Eb F Gb .	5	1 2b 3b 4 5b .	110101100000	3424	Locrian PentaMirror		Gb	0 1 3 5 6	7	C			
C F# G A .	4	1 4# 5 6  .	100000110100	2100	Theoretical - No Known Name		C	0 6 7 9	1	F#			
