Note Names from C	Number Of Notes In Scale	Ascending Note Positions in Scale	Binary 12notes 1&0	Pitch Set binary	Name Of Scale	Alternative Scale Names	Flatmost Note	PitchSet Notation 12 edo	PositionOfTonic	Sharpmost Note	Composer	Reference Url	WorkExample
C Db Eb Fb F Gb G Bbb Cb .	9	1 2b 3b 4b 4 5b 5 7bb 8b .	110111110101	3573	Theoretical - No Known Name		Bbb	0 1 3 4 5 6 7 9 11	10	G			
C C# D E F F# G G# Bb .	9	1 1# 2 3 4 4# 5 5# 7b .	111011111010	3834	Theoretical - No Known Name		Bb	0 1 2 4 5 6 7 8 10	3	G#			
C C# D E F G G# Bb .	8	1 1# 2 3 4 5 5# 7b .	111011011010	3802	Theoretical - No Known Name		Bb	0 1 2 4 5 7 8 10	3	G#			
C Db Eb E Gb Ab Bb .	7	1 2b 3b 3 5b 6b 7b .	110110101010	3498	Hindi 5 flats	Super Locrian 5 flats	Gb	0 1 3 4 6 8 10 	7	E			
C C# D D# E F F# G A .	9	1 1# 2 2# 3 4 4# 5 6 .	111111110100	4084	Theoretical - No Known Name		F	0 1 2 3 4 5 6 7 9	2	D#			
C C# D E F G G# Bb B .	9	1 1# 2 3 4 5 5# 7b 7 .	111011011011	3803	Theoretical - No Known Name		Bb	0 1 2 4 5 7 8 10 11	3	G#			
C D Eb F F# Ab A Bb B .	9	1 2 3b 4 4# 6b 6 7b 7 .	101101101111	2927	Theoretical - No Known Name		Ab	0 2 3 5 6 8 9 10 11	5	F#			
C D Eb F F# Ab A Bb .	8	1 2 3b 4 4# 6b 6 7b .	101101101110	2926	Theoretical - No Known Name		Ab	0 2 3 5 6 8 9 10	5	F#			
C Db Eb F Gb Ab A Cb .	8	1 2b 3b 4 5b 5b 6 8b .	110101101101	3437	Theoretical - No Known Name		Cb	0 1 3 5 6 8 9 11	8	A			
C C# D D# E G G# A A# B .	10	1 1# 2 2# 3 5 5# 6 6# 7 .	111110011111	3999	Theoretical - No Known Name		C	0 1 2 3 7 8 9 10 11	1	A#			
C C# D D# E F F# G G# A .	10	1 1# 2 2# 3 4 4# 5 5# 6 .	111111111100	4092	Chromatic DecaMirror all except A# & B 6# 7		F	0 1 2 3 4 5 6 7 8 9	2	D#			
C C# D F F# G G# A Bb B .	10	1 1# 2 4 4# 5 5# 6 7b 7 .	111001111111	3711	Theoretical - No Known Name		Bb	0 1 2 5 6 7 8 9 10 11	3	G#			
C Eb E F F# G Ab  A Bb B .	10	1 3b 3 4 4# 5 6b 6 7b 7 .	100111111111	2559	Theoretical - No Known Name		Ab	0 3 4 5 6 7 8 9 10 11	5	F#			
C C# D E G G# A A# B .	9	1 1# 2 3 5 5# 6 6# 7 .	111010011111	3743	Theoretical - No Known Name		C	0 1 2 4 7 8 9 10 11	1	A#			
C Eb E F F# G Ab A Bb .	9	1 3b 3 4 4# 5 6b 6 7b .	100111111110	2558	Theoretical - No Known Name		Ab	0 3 4 5 6 7 8 9 10 	5	F#			
C Db D Eb F Ab A Bb B .	9	1 2b 2 3b 4 6b 6 7b 7 .	111101001111	3919	Theoretical - No Known Name		Db	0 1 2 3 5 8 9 10 11	6	B			
C C# D D# E F G G# A .	9	1 1# 2 2# 3 4 5 5# 6 .	111111011100	4060	Theoretical - No Known Name		F	0 1 2 3 4 5 7 8 9	2	D#			
C C# D F F# G G# A Bb .	9	1 1# 2 4 4# 5 5# 6 7b .	111001111110	3710	Theoretical - No Known Name		Bb	0 1 2 5 6 7 8 9 10	3	G#			
C Eb E F F# G Ab Bb B .	9	1 3b 3 4 4# 5 6b 7b 7 .	100111111011	2555	Theoretical - No Known Name		Ab	0 3 4 5 6 7 8 10 11	5	F#			
C Db D Eb Fb Gb G Ab Cb .	9	1 2b 2 3b 4b 5b 5 6b 8b .	111110111001	4025	Theoretical - No Known Name		Fb	0 1 2 3 4 6 7 8 11	9	D			
C D E G G# A A# B .	8	1 2 3 5 5# 6 6# 7 .	101010011111	2719	Theoretical - No Known Name		C	0 2 4 7 8 9 10 11	1	A#			
C C# D D# E F G A .	8	1 1# 2 2# 3 4 5 6 .	111111010100	4052	Theoretical - No Known Name		F	0 1 2 3 4 5 7 9	2	D#			
C Eb E F F# G Ab Bb .	8	1 3b 3 4 4# 5 6b 7b .	100111111010	2554	Theoretical - No Known Name		Ab	0 3 4 5 6 7 8 10	5	F#			
C Db D Eb Fb Gb Ab Cb .	7	1 2b 2 3b 4b 5b 6b 8b .	111110101001	4009	Theoretical - No Known Name		Fb	0 1 2 3 4 6 8 11	9	D			
C C# D D# E G A A# B .	9	1 1# 2 2# 3 5 6 6# 7 .	111110010111	3991	Theoretical - No Known Name		C	0 1 2 3 7 9 10 11	1	A#			
C C# D F G G# A Bb B .	9	1 1# 2 4 5 5# 6 7b 7 .	111001011111	3679	Theoretical - No Known Name		Bb	0 1 2 5 7 8 9 10 11	3	G#			
C Db D Eb F Ab Bb B .	8	1 2b 2 3b 4 6b 7b 7 .	111101001011	3915	Theoretical - No Known Name		Db	0 1 2 3 5 8 10 11	6	B			
C Db Eb Fb F Gb G Ab Bbb Cb .	10	1 2b 3b 4b 4 5b 5 6b 7bb 8b .	110111111101	3581	Theoretical - No Known Name		Bbb	0 1 3 4 5 6 7 8 9 11	10	G			
C C# D D# E F G G# A B .	10	1 1# 2 2# 3 4 5 5# 6 7 .	111111011101	4061	Theoretical - No Known Name		F	0 1 2 3 4 5 7 8 9 11	2	D#			
C C# D E F F# G G# A Bb .	10	1 1# 2 3 4 4# 5 5# 6 7b  .	111011111110	3838	Theoretical - No Known Name		Bb	0 1 2 4 5 6 7 8 9 10	3	G#			
C Db D Eb Fb Gb G Ab Bb Cb .	10	1 2b 2 3b 4b 5b 5 6b 7b 8b .	111110111011	4027	Theoretical - No Known Name		Fb	0 1 2 3 4 6 7 8 10 11	9	D			
C C# D D# E F G A B .	9	1 1# 2 2# 3 4 5 6 7 .	111111010101	4053	Theoretical - No Known Name		F	0 1 2 3 4 5 7 9 11	2	D#			
C C# D Eb F G A Bb B .	9	1 1# 2 3b 4 5 6 7b 7 .	111101010111	3927	Theoretical - No Known Name		Eb	0 1 2 3 5 7 9 10 11	4	C#			
C Db Eb F G Ab A Bb B .	9	1 2b 3b 4 5 6b 6 b7 7 .	110101011111	3423	Theoretical - No Known Name		Db	0 1 3 5 7 8 9 10 11	6	B			
C Db D Eb Fb Gb Ab Bb Cb .	9	1 2b 2 3b 4b 5b 6b 7b 8b .	111110101011	4011	Theoretical - No Known Name		Fb	0 1 2 3 4 6 8 10 11	9	D			
C Db Eb Fb Gb G Ab Bbb Cb .	9	1 2b 3b 4b 5b 5 6b 7bb 8b .	110110111101	3517	Theoretical - No Known Name		Bbb	0 1 3 4 6 7 8 9 11	10	G			
C C# D E F G G# A Bb .	9	1 1# 2 3 4 5 5# 6 7b .	111011011110	3806	Theoretical - No Known Name		Bb	0 1 2 4 5 7 8 9 10	3	G#			
C D Eb F F# G Ab Bb B .	9	1 2 3b 4 4# 5 6b 7b 7 .	101101111011	2939	Theoretical - No Known Name		Ab	0 2 3 5 6 7 8 10 11	5	F#			
C C# D Eb F G A Bb .	8	1 1# 2 3b 4 5 6 7b     .	111101010110	3926	Adonai Malakh (Israel) 2b 1#		Eb	0 1 2 3 5 7 9 10	4	C#			
C D Eb F F# G Ab Bb .	8	1 2 3b 4 4# 5 6b 7b  .	101101111010	2938	Theoretical - No Known Name		Ab	0 2 3 5 6 7 8 10	5	F#			
C Db Eb E F Gb Ab Bb .	8	1 2b 3b 3 4 5b 6b 7b .	110111101010	3562	 Spanish 8 tones (all b¢s) in 12edo)		Gb	0 1 3 4 5 6 8 10	7	E			
C Db Eb Fb Gb G Ab Bbb Bb Cb .	10	1 2b 3b 4b 5b 5 6b 7bb 7b 8b .	110110111111	3519	Theoretical - No Known Name		Bbb	0 1 3 4 6 7 8 9 10 11	10	G			
C D D# E F F# G G# A B .	10	1 2 2# 3 4 4# 5 5# 6 7 .	101111111101	3069	Theoretical - No Known Name		F	0 2 3 4 5 6 7 8 9 11	2	D#			
